seed,suite,benchmark,pipeline_label,repeat_count,polybench_seconds_mean,polybench_seconds_median,polybench_seconds_std,polybench_seconds_ci95,wall_seconds_mean,wall_seconds_median
456,polybench_full,trmm,universal,1,2.09572,2.09572,0.0,0.0,2.1161560190375894,2.1161560190375894
457,polybench_full,2mm,universal,1,11.633880000000001,11.633880000000001,0.0,0.0,11.633880000000001,11.633880000000001
457,polybench_full,3mm,universal,1,15.278985,15.278985,0.0,0.0,15.278985,15.278985
457,polybench_full,adi,universal,1,74.09491,74.09491,0.0,0.0,74.09491,74.09491
457,polybench_full,atax,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
457,polybench_full,cholesky,universal,1,20.595675,20.595675,0.0,0.0,20.595675,20.595675
457,polybench_full,correlation,universal,1,5.550737,5.550737,0.0,0.0,5.562054199865088,5.562054199865088
457,polybench_full,covariance,universal,1,27.28371,27.28371,0.0,0.0,27.28371,27.28371
457,polybench_full,deriche,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
457,polybench_full,doitgen,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
457,polybench_full,durbin,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
457,polybench_full,fdtd-2d,universal,1,10.576925,10.576925,0.0,0.0,10.576925,10.576925
457,polybench_full,gemm,universal,1,6.03004,6.03004,0.0,0.0,6.03004,6.03004
457,polybench_full,gemver,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
457,polybench_full,gesummv,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
457,polybench_full,gramschmidt,universal,1,27.08135,27.08135,0.0,0.0,27.08135,27.08135
457,polybench_full,heat-3d,universal,1,16.205325,16.205325,0.0,0.0,16.205325,16.205325
457,polybench_full,jacobi-1d,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
457,polybench_full,lu,universal,1,45.17495,45.17495,0.0,0.0,45.17495,45.17495
457,polybench_full,ludcmp,universal,1,4.509315,4.509315,0.0,0.0,20.643388689961284,20.643388689961284
457,polybench_full,nussinov,universal,1,3.461113,3.461113,0.0,0.0,3.476945628877729,3.476945628877729
457,polybench_full,syr2k,universal,1,14.690655,14.690655,0.0,0.0,14.690655,14.690655
457,polybench_full,syrk,universal,1,5.082585,5.082585,0.0,0.0,5.082585,5.082585
457,polybench_full,trisolv,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
457,polybench_full,trmm,universal,1,10.54423,10.54423,0.0,0.0,10.54423,10.54423
458,polybench_full,2mm,universal,1,11.633880000000001,11.633880000000001,0.0,0.0,11.633880000000001,11.633880000000001
458,polybench_full,3mm,universal,1,15.278985,15.278985,0.0,0.0,15.278985,15.278985
458,polybench_full,atax,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
458,polybench_full,correlation,universal,1,5.792136,5.792136,0.0,0.0,5.811787416227162,5.811787416227162
458,polybench_full,covariance,universal,1,27.28371,27.28371,0.0,0.0,27.28371,27.28371
458,polybench_full,deriche,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
458,polybench_full,doitgen,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
458,polybench_full,durbin,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
458,polybench_full,fdtd-2d,universal,1,10.576925,10.576925,0.0,0.0,10.576925,10.576925
458,polybench_full,gemm,universal,1,6.03004,6.03004,0.0,0.0,6.03004,6.03004
458,polybench_full,gemver,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
458,polybench_full,gesummv,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
458,polybench_full,gramschmidt,universal,1,6.952284,6.952284,0.0,0.0,6.981391933048144,6.981391933048144
458,polybench_full,jacobi-1d,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
458,polybench_full,ludcmp,universal,1,21.849865,21.849865,0.0,0.0,21.849865,21.849865
458,polybench_full,nussinov,universal,1,3.455589,3.455589,0.0,0.0,3.482318288879469,3.482318288879469
458,polybench_full,syr2k,universal,1,14.690655,14.690655,0.0,0.0,14.690655,14.690655
458,polybench_full,syrk,universal,1,5.082585,5.082585,0.0,0.0,5.082585,5.082585
459,polybench_full,2mm,universal,1,2.317571,2.317571,0.0,0.0,2.3509913778398186,2.3509913778398186
459,polybench_full,3mm,universal,1,3.08816,3.08816,0.0,0.0,3.1250865198671818,3.1250865198671818
459,polybench_full,adi,universal,1,14.755102,14.755102,0.0,0.0,14.773377432953566,14.773377432953566
459,polybench_full,atax,universal,1,0.011145,0.011145,0.0,0.0,0.046168316854164004,0.046168316854164004
459,polybench_full,correlation,universal,1,5.800651,5.800651,0.0,0.0,5.82463702885434,5.82463702885434
459,polybench_full,covariance,universal,1,5.789351,5.789351,0.0,0.0,5.812725652940571,5.812725652940571
459,polybench_full,deriche,universal,1,0.281212,0.281212,0.0,0.0,0.32599611789919436,0.32599611789919436
459,polybench_full,doitgen,universal,1,0.346687,0.346687,0.0,0.0,0.38001880003139377,0.38001880003139377
459,polybench_full,durbin,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
459,polybench_full,fdtd-2d,universal,1,2.052925,2.052925,0.0,0.0,2.0824826220050454,2.0824826220050454
459,polybench_full,gemm,universal,1,0.903426,0.903426,0.0,0.0,0.9388560559600592,0.9388560559600592
459,polybench_full,gemver,universal,1,0.029158,0.029158,0.0,0.0,0.06731009809300303,0.06731009809300303
459,polybench_full,gesummv,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
459,polybench_full,gramschmidt,universal,1,7.006423,7.006423,0.0,0.0,7.0375868999399245,7.0375868999399245
459,polybench_full,jacobi-1d,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
459,polybench_full,ludcmp,universal,1,21.849865,21.849865,0.0,0.0,21.849865,21.849865
459,polybench_full,nussinov,universal,1,3.367786,3.367786,0.0,0.0,3.392633109120652,3.392633109120652
459,polybench_full,trisolv,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
459,polybench_full,trmm,universal,1,2.097707,2.097707,0.0,0.0,2.117741680936888,2.117741680936888
460,polybench_full,2mm,universal,1,11.633880000000001,11.633880000000001,0.0,0.0,11.633880000000001,11.633880000000001
460,polybench_full,3mm,universal,1,15.278985,15.278985,0.0,0.0,15.278985,15.278985
460,polybench_full,correlation,universal,1,5.778352,5.778352,0.0,0.0,5.799004539847374,5.799004539847374
460,polybench_full,deriche,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
460,polybench_full,durbin,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
460,polybench_full,gesummv,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
460,polybench_full,gramschmidt,universal,1,6.692076,6.692076,0.0,0.0,6.719952292973176,6.719952292973176
460,polybench_full,jacobi-1d,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
460,polybench_full,ludcmp,universal,1,21.849865,21.849865,0.0,0.0,21.849865,21.849865
460,polybench_full,nussinov,universal,1,3.507545,3.507545,0.0,0.0,3.5321024088189006,3.5321024088189006
460,polybench_full,trmm,universal,1,2.12488,2.12488,0.0,0.0,2.1445016351062804,2.1445016351062804
461,polybench_full,2mm,universal,1,2.35457,2.35457,0.0,0.0,2.3814544880297035,2.3814544880297035
461,polybench_full,3mm,universal,1,3.149058,3.149058,0.0,0.0,3.1782092361245304,3.1782092361245304
461,polybench_full,atax,universal,1,0.010376,0.010376,0.0,0.0,0.03753980319015682,0.03753980319015682
461,polybench_full,bicg,universal,1,0.010503,0.010503,0.0,0.0,0.035281100077554584,0.035281100077554584
461,polybench_full,cholesky,universal,1,20.595675,20.595675,0.0,0.0,20.595675,20.595675
461,polybench_full,correlation,universal,1,5.785444,5.785444,0.0,0.0,5.796575526939705,5.796575526939705
461,polybench_full,covariance,universal,1,5.808472,5.808472,0.0,0.0,5.821984087117016,5.821984087117016
461,polybench_full,deriche,universal,1,0.281462,0.281462,0.0,0.0,0.31467542494647205,0.31467542494647205
461,polybench_full,doitgen,universal,1,0.341742,0.341742,0.0,0.0,0.3650815358851105,0.3650815358851105
461,polybench_full,durbin,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
461,polybench_full,fdtd-2d,universal,1,2.095961,2.095961,0.0,0.0,2.116914641112089,2.116914641112089
461,polybench_full,gemm,universal,1,0.988508,0.988508,0.0,0.0,1.0131869211327285,1.0131869211327285
461,polybench_full,gemver,universal,1,0.0292,0.0292,0.0,0.0,0.05584562895819545,0.05584562895819545
461,polybench_full,heat-3d,universal,1,3.186104,3.186104,0.0,0.0,3.20449526514858,3.20449526514858
461,polybench_full,jacobi-1d,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
461,polybench_full,lu,universal,1,7.268957,7.268957,0.0,0.0,29.20357411284931,29.20357411284931
461,polybench_full,ludcmp,universal,1,21.849865,21.849865,0.0,0.0,21.849865,21.849865
461,polybench_full,nussinov,universal,1,3.516975,3.516975,0.0,0.0,3.53620760794729,3.53620760794729
461,polybench_full,syr2k,universal,1,2.552432,2.552432,0.0,0.0,2.578932706033811,2.578932706033811
461,polybench_full,syrk,universal,1,0.798514,0.798514,0.0,0.0,0.8142369070556015,0.8142369070556015
461,polybench_full,trisolv,universal,1,0.002914,0.002914,0.0,0.0,0.019763931166380644,0.019763931166380644
461,polybench_full,trmm,universal,1,1.821548,1.821548,0.0,0.0,1.8345674800220877,1.8345674800220877
462,polybench_full,2mm,universal,1,11.633880000000001,11.633880000000001,0.0,0.0,11.633880000000001,11.633880000000001
462,polybench_full,3mm,universal,1,15.278985,15.278985,0.0,0.0,15.278985,15.278985
462,polybench_full,adi,universal,1,74.09491,74.09491,0.0,0.0,74.09491,74.09491
462,polybench_full,atax,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
462,polybench_full,correlation,universal,1,5.788271,5.788271,0.0,0.0,5.810335182119161,5.810335182119161
462,polybench_full,deriche,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
462,polybench_full,doitgen,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
462,polybench_full,durbin,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
462,polybench_full,fdtd-2d,universal,1,10.576925,10.576925,0.0,0.0,10.576925,10.576925
462,polybench_full,gemm,universal,1,6.03004,6.03004,0.0,0.0,6.03004,6.03004
462,polybench_full,gemver,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
462,polybench_full,gesummv,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
462,polybench_full,gramschmidt,universal,1,6.651832,6.651832,0.0,0.0,6.67902421602048,6.67902421602048
462,polybench_full,heat-3d,universal,1,16.205325,16.205325,0.0,0.0,16.205325,16.205325
462,polybench_full,jacobi-1d,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
462,polybench_full,ludcmp,universal,1,21.849865,21.849865,0.0,0.0,21.849865,21.849865
462,polybench_full,nussinov,universal,1,3.513251,3.513251,0.0,0.0,3.540861363057047,3.540861363057047
462,polybench_full,trisolv,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
463,polybench_full,2mm,universal,1,11.633880000000001,11.633880000000001,0.0,0.0,11.633880000000001,11.633880000000001
463,polybench_full,3mm,universal,1,15.278985,15.278985,0.0,0.0,15.278985,15.278985
463,polybench_full,adi,universal,1,74.09491,74.09491,0.0,0.0,74.09491,74.09491
463,polybench_full,atax,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
463,polybench_full,bicg,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
463,polybench_full,cholesky,universal,1,20.595675,20.595675,0.0,0.0,20.595675,20.595675
463,polybench_full,correlation,universal,1,26.890710000000002,26.890710000000002,0.0,0.0,26.890710000000002,26.890710000000002
463,polybench_full,covariance,universal,1,27.28371,27.28371,0.0,0.0,27.28371,27.28371
463,polybench_full,deriche,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
463,polybench_full,doitgen,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
463,polybench_full,fdtd-2d,universal,1,10.576925,10.576925,0.0,0.0,10.576925,10.576925
463,polybench_full,floyd-warshall,universal,1,74.372925,74.372925,0.0,0.0,74.372925,74.372925
