feature_name,feature_group,pass_name,scope,seed_count,mdi_mean,mdi_ci95_half_width,mdi_ci95_low,mdi_ci95_high,permutation_mean,permutation_ci95_half_width,permutation_ci95_low,permutation_ci95_high,permutation_std_mean,permutation_rank_mean
pass_freq:function(instsimplify),pass_freq,function(instsimplify),function,10,0.006477446135327837,0.0016840742537208345,0.004793371881607002,0.008161520389048672,4.673129269509355e-05,0.00014116117238948547,-9.442987969439192e-05,0.00018789246508457903,0.0001240344234001741,11
pass_freq:function(jump-threading),pass_freq,function(jump-threading),function,10,0.008235926330647111,0.003497712926612159,0.004738213404034953,0.01173363925725927,3.6780019807666795e-05,0.00017799521451152532,-0.00014121519470385851,0.00021477523431919212,0.00012281157992095445,12
seq_len_ratio,sequence_shape,,,10,0.05304551869960859,0.01697339570455419,0.0360721229950544,0.07001891440416279,3.59620564266125e-05,0.0003210708187911395,-0.000285108762364527,0.000357032875217752,0.0004203592962254191,13
scope_ratio:loop,scope_ratio,,loop,10,0.015683498870909116,0.01059955193925767,0.005083946931651446,0.026283050810166787,2.3833799073414103e-05,0.00011927922201426713,-9.544542294085303e-05,0.00014311302108768124,0.00020412035070387104,14
scope_ratio:cgscc,scope_ratio,,cgscc,10,0.01808548981693374,0.009255141557316264,0.008830348259617475,0.027340631374250003,2.3833060658294224e-05,0.00018245880212184522,-0.000158625741463551,0.00020629186278013943,0.00020582185121647222,15
pass_freq:function(gvn-hoist),pass_freq,function(gvn-hoist),function,10,0.005433679661471565,0.0023504107793741458,0.0030832688820974195,0.007784090440845711,1.4157507281740441e-05,0.00010690196682076327,-9.274445953902283e-05,0.00012105947410250371,9.143294300056274e-05,16
pass_freq:module(attributor),pass_freq,module(attributor),module,10,0.01710892237278262,0.01467626286190742,0.0024326595108752,0.03178518523469004,1.2936639377944077e-05,0.00010675156880015301,-9.381492942220893e-05,0.00011968820817809709,0.0001699415613038176,17
pass_freq:loop(loop-simplifycfg),pass_freq,loop(loop-simplifycfg),loop,10,0.0044498927797916865,0.0017786186909526237,0.002671274088839063,0.006228511470744311,3.5541478768039414e-06,7.290397522013226e-05,-6.934982734332832e-05,7.64581230969362e-05,5.5630643729253924e-05,18
pass_freq:function(dce),pass_freq,function(dce),function,10,0.011697186748742061,0.01189963554527045,-0.0002024487965283893,0.023596822294012512,2.7988134074595224e-06,0.00011057817762942351,-0.00010777936422196399,0.00011337699103688303,0.0003454850498956115,19
scope_ratio:other,scope_ratio,,other,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
self_loop_coverage,self_loop,,,10,0.005225686117837485,0.0031654346813220443,0.0020602514365154405,0.008391120799159529,-1.4920798515728179e-05,7.435741584103966e-05,-8.927821435676783e-05,5.943661732531148e-05,9.309532915120993e-05,21
pass_freq:function(memcpyopt),pass_freq,function(memcpyopt),function,10,0.00789704216813091,0.004109672426511303,0.0037873697416196074,0.012006714594642212,-3.074205546400587e-05,0.00010661646191587404,-0.0001373585173798799,7.587440645186817e-05,0.0001294007794054209,22
pass_freq:function(dse),pass_freq,function(dse),function,10,0.004971859807838649,0.0019608779725529784,0.0030109818352856703,0.006932737780391628,-3.864733573613036e-05,5.532314180548302e-05,-9.397047754161337e-05,1.6675806069352656e-05,8.451161473816503e-05,23
pass_freq:cgscc(attributor-cgscc),pass_freq,cgscc(attributor-cgscc),cgscc,10,0.003861158931015956,0.0012475295404059427,0.002613629390610013,0.005108688471421899,-4.085070485653863e-05,6.201058150607095e-05,-0.00010286128636260959,2.1159876649532323e-05,8.382241308453175e-05,24
pass_freq:function(lower-switch),pass_freq,function(lower-switch),function,10,0.00652122912634824,0.005624892806131591,0.0008963363202166485,0.012146121932479832,-4.376652771707247e-05,4.956859198905733e-05,-9.33351197061298e-05,5.802064271984859e-06,7.914955009485167e-05,25
pass_freq:module(iroutliner),pass_freq,module(iroutliner),module,10,0.009550892835095637,0.0055239499428357975,0.004026942892259839,0.015074842777931434,-6.388656439727241e-05,0.00017549284710375538,-0.0002393794115010278,0.00011160628270648297,0.00015337894422714598,26
pass_freq:module(inferattrs),pass_freq,module(inferattrs),module,10,0.0060673511369489065,0.00426742525513469,0.0017999258818142162,0.010334776392083597,-7.961780981799406e-05,0.0001046567814187856,-0.00018427459123677965,2.5038971600791548e-05,0.00013982666141354287,27
self_loop_hit_rate,self_loop,,,10,0.03354171373300315,0.01083419362006571,0.022707520112937443,0.04437590735306886,-0.0001305671985336664,0.0003198963108160006,-0.000450463509349667,0.00018932911228233422,0.0003161390129591525,28
pass_freq:function(newgvn),pass_freq,function(newgvn),function,10,0.008885480628765796,0.003447580063201982,0.0054379005655638135,0.012333060691967778,-0.00013701846760389471,0.00016393512154637313,-0.0003009535891502678,2.6916653942478413e-05,0.00013973342225069986,29
max_repeat_ratio,sequence_shape,,,10,0.03690387698807268,0.011023857080155443,0.02588001990791724,0.047927734068228124,-0.00018950506484599028,0.00032467475521085517,-0.0005141798200568455,0.0001351696903648649,0.0003879266644325125,30
repeat_mass_ratio,sequence_shape,,,10,0.044418740170543126,0.025171082980422498,0.01924765719012063,0.06958982315096562,-0.0002106867937153763,0.0003099728503411425,-0.0005206596440565188,9.92860566257662e-05,0.0003488228225810384,31
